URL,Title,Series,SEO Score (0-100),Top Action #1,Top Action #2,Top Action #3,Yoast SEO Title Length,Meta Description Length,Word Count,Internal Links,Images Missing Alt
https://seatofthesoul.com/emotional-awareness-what-it-is-and-how-to-use-it,Soul Feast # 5: Emotional Awareness – What It Is and How to Use It,Soul Feast,30,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (263 words, expand past 300)",99,0,263,0,0
https://seatofthesoul.com/cooperation-your-souls-intention,Soul Feast #10: Cooperation: Your Soul’s Intention,Soul Feast,30,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (289 words, expand past 300)",83,0,289,0,0
https://seatofthesoul.com/why-choose-forgiveness,Soul Feast #15: Why Choose Forgiveness?,Soul Feast,30,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (266 words, expand past 300)",72,0,266,0,0
https://seatofthesoul.com/how-to-trust-the-universe,Soul Feast #16: How to Trust the Universe,Soul Feast,30,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (282 words, expand past 300)",74,0,282,0,0
https://seatofthesoul.com/what-is-the-new-consciousness,Soul Feast #3: What is The New Consciousness?,Soul Feast,30,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (281 words, expand past 300)",78,0,281,0,0
https://seatofthesoul.com/soul-feast-7-intuition-non-physical-teachers,Soul Feast #7: Intuition & Non-Physical Teachers,Soul Feast,30,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (280 words, expand past 300)",81,0,280,0,0
https://seatofthesoul.com/developing-compassion-the-heart-of-authentic-power,Soul Snack #12: Developing Compassion: The Heart of Authentic Power,Soul Snack,30,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (274 words, expand past 300)",100,0,274,0,0
https://seatofthesoul.com/letting-go-of-anger-and-resentment,Soul Snack #13: Letting Go of Anger and Resentment,Soul Snack,30,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (259 words, expand past 300)",83,0,259,0,0
https://seatofthesoul.com/freeing-yourself-of-painful-emotional-sensations,Soul Snack #14: Freeing Yourself of Painful Emotional Sensations,Soul Snack,30,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (228 words, expand past 300)",97,0,228,0,0
https://seatofthesoul.com/experiences-of-multisensory-perception,Soul Snack #16: Experiences of Multisensory Perception,Soul Snack,30,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (161 words, expand past 300)",87,0,161,0,0
https://seatofthesoul.com/higher-logic-of-the-heart,Soul Snack #2: The Higher Logic of the Heart,Soul Snack,30,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (239 words, expand past 300)",77,0,239,0,0
https://seatofthesoul.com/ocean-meditation,Soul Snack #3: The Ocean Meditation,Soul Snack,30,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (143 words, expand past 300)",68,0,143,0,0
https://seatofthesoul.com/the-voice-of-the-non-physical-world,Soul Snack #4: Intuition is the Voice of the Non-Physical World,Soul Snack,30,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (215 words, expand past 300)",96,0,215,0,0
https://seatofthesoul.com/meditation-your-choices-shape-your-life,Soul Snack #5: Guided Meditation – Your Choices Shape Your Life,Soul Snack,30,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (210 words, expand past 300)",96,0,210,0,0
https://seatofthesoul.com/soul-snack-6-creating-authentic-power-mastering-fear-choosing-love,Soul Snack #6: Creating Authentic Power – Mastering Fear & Choosing Love,Soul Snack,30,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (217 words, expand past 300)",105,0,217,0,0
https://seatofthesoul.com/authentic-power-guided-meditation,Soul Snack #7: Guided Meditation for Authentic Power,Soul Snack,30,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (182 words, expand past 300)",85,0,182,0,0
https://seatofthesoul.com/frightened-parts-of-your-personality,Soul Snack #8: Recognizing Frightened Parts of Your Personality,Soul Snack,30,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (203 words, expand past 300)",96,0,203,0,0
https://seatofthesoul.com/soul-feast-6-responsible-choice-conscious-decisions,Soul Feast #6: Responsible Choice – Creating a Life of Love Through Conscious Decisions,Soul Feast,40,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Thin content (245 words, expand past 300)",120,0,245,1,0
https://seatofthesoul.com/harmony-your-souls-intention,Soul Feast #8: Harmony: Your Soul’s Intention,Soul Feast,40,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Thin content (276 words, expand past 300)",78,0,276,1,0
https://seatofthesoul.com/how-do-i-change-the-way-i-process-energy,Soul Snack #10: How do I change the way I process energy?,Soul Snack,40,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Thin content (265 words, expand past 300)",90,0,265,1,0
https://seatofthesoul.com/responding-to-anger-with-love,Soul Snack #11: Responding to Anger with Love,Soul Snack,40,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Thin content (263 words, expand past 300)",78,0,263,1,0
https://seatofthesoul.com/being-present-when-interacting,Soul Snack #15: Being Present When Interacting,Soul Snack,40,Add meta description (120-160 chars),"Add more internal links (currently 1, aim 3+)","Thin content (278 words, expand past 300)",79,0,278,1,0
https://seatofthesoul.com/giving-your-gifts,Soul Snack #1: Giving Your Gifts,Soul Snack,40,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (221 words, expand past 300)",65,0,221,0,0
https://seatofthesoul.com/we-are-souls,Soul Snack #9: We Are Souls,Soul Snack,40,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Thin content (291 words, expand past 300)",60,0,291,0,0
https://seatofthesoul.com/reverence-for-life,Soul Feast #11: Reverence for Life: Your Soul’s Intention,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (304 words, ideal 500+)",90,0,304,0,0
https://seatofthesoul.com/spiritual-partnership-vs-marriage,Soul Feast #19: Spiritual Partnership vs Marriage,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (336 words, ideal 500+)",82,0,336,0,0
https://seatofthesoul.com/growing-together-in-spiritual-partnership,Soul Feast #20: Growing Together in Spiritual Partnership,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (345 words, ideal 500+)",90,0,345,0,0
https://seatofthesoul.com/saying-what-is-most-difficult-in-spiritual-partnership,Soul Feast #22: Saying What is Most Difficult in Spiritual Partnership,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (353 words, ideal 500+)",103,0,353,0,0
https://seatofthesoul.com/new-male-and-the-new-female,Soul Feast #23: The New Male and The New Female,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (359 words, ideal 500+)",80,0,359,0,0
https://seatofthesoul.com/what-to-do-about-disintegrating-social-structures,Soul Feast #25 – What to Do About Disintegrating Social Structures,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (376 words, ideal 500+)",99,0,376,0,0
https://seatofthesoul.com/am-i-joyful-or-am-i-happy,Soul Feast #26 – Am I Joyful or Am I Happy?,Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (386 words, ideal 500+)",76,0,386,0,0
https://seatofthesoul.com/choice-karma-and-the-law-of-attraction,"Soul Feast #27 – Choice, Karma, and The Law of Attraction",Soul Feast,42,Add meta description (120-160 chars),"Add internal links (currently 0, aim 3+)","Short content (323 words, ideal 500+)",90,0,323,0,0
