url_old,redirect_to_301,reason,notes
https://seatofthesoul.com/apsp-23-registration,/authentic-power-support-program-apsp-2025,drop,Cohorte 2023 cerrada.
https://seatofthesoul.com/apsp-25-registration,/authentic-power-support-program-apsp-2025,drop,Cohorte 2025 cerrada.
https://seatofthesoul.com/apsp-questionnaire,/authentic-power-support-program-apsp-2025,drop,Intake de cohorte APSP cerrada.
https://seatofthesoul.com/beyond-the-five-senses-waitlist,/beyond-the-five-senses-course,consolidate,Waitlist; estado de la pagina del curso.
https://seatofthesoul.com/blog-2,/blog,drop,Duplicado de blog (2024); 301 al indice.
https://seatofthesoul.com/cart,(definir destino relevante),drop,RIESGO: carrito WooCommerce; sin equivalente nativo Webflow.
https://seatofthesoul.com/checkout,(definir destino relevante),drop,RIESGO: checkout WooCommerce; gap de plataforma.
https://seatofthesoul.com/cultivating-love-self-assessment,/cultivating-love-optin,consolidate,Variante vieja (2021); fundir en el optin.
https://seatofthesoul.com/email-series-update,(definir destino relevante),drop,Utilidad interna de flujo de email (2022).
https://seatofthesoul.com/evening-welcome,(definir destino relevante),drop,EWGZ Dashboard interno/evento (2024); no es pagina publica.
https://seatofthesoul.com/event-waitlist-journey-to-the-soul,/events-and-programs,consolidate,Waitlist Journey generico; fundir en programa.
https://seatofthesoul.com/fear-evaluation,/love-fear,consolidate,Assessment (2021); fundir en funnel love-fear.
https://seatofthesoul.com/for-linda,/remember-linda-homepage,consolidate,Cluster memorial Linda -> tributo unico.
https://seatofthesoul.com/gifts-of-the-pandemic,(definir destino relevante),drop,Contenido de momento pandemia (2021).
https://seatofthesoul.com/happy-birthday-gary,(definir destino relevante),drop,Saludo dated unico (2022).
https://seatofthesoul.com/join-seat-of-the-soul-team,/seat-of-the-soul-career-opportunities,consolidate,Reclutamiento (2021); fundir con careers.
https://seatofthesoul.com/join-the-waitlist-jou23,(definir destino relevante),drop,Waitlist JOU 2023 cerrada.
https://seatofthesoul.com/join-the-waitlist-sp-new-dimension-relationship,(definir destino relevante),drop,Waitlist programa 2022 cerrada.
https://seatofthesoul.com/journey-questionnaire,/journey-to-the-soul-questionnaire,consolidate,Duplicado viejo (2021).
https://seatofthesoul.com/journey-to-the-soul-registration-september-2024,/events-and-programs,drop,Cohorte Sept-2024 cerrada.
https://seatofthesoul.com/journey-to-the-soul-retreat-faqs,/events-and-programs,consolidate,Fundir en FAQ del programa Journey.
https://seatofthesoul.com/lav-terms-conditions-agreement,/jtts-lav-agreement-form,consolidate,Terminos LAV viejos (2021); fundir con legal.
https://seatofthesoul.com/linda-celebration,/remember-linda-homepage,consolidate,Cluster memorial Linda.
https://seatofthesoul.com/linda-celebration-thank-you,/remember-linda-homepage,drop,Cluster Linda consolidado/dropeado.
https://seatofthesoul.com/linda-francis-celebration-series,/remember-linda-homepage,consolidate,Cluster memorial Linda.
https://seatofthesoul.com/linda-francis-celebration-series-messages,/remember-linda-homepage,consolidate,Cluster memorial Linda.
https://seatofthesoul.com/lindas-mailbox,/remember-linda-homepage,consolidate,Cluster memorial Linda.
https://seatofthesoul.com/listen-in,/media,consolidate,Pagina audio (2022); fundir con podcast/media.
https://seatofthesoul.com/listen-with-gary-and-linda,/media,consolidate,Pagina audio (2021); fundir con podcast/media.
https://seatofthesoul.com/love-evaluation,/love-fear,consolidate,Assessment (2021); fundir en funnel love-fear.
https://seatofthesoul.com/message-to-linda-received,/remember-linda-homepage,drop,Cluster Linda.
https://seatofthesoul.com/messages-for-linda,/remember-linda-homepage,consolidate,Cluster memorial Linda.
https://seatofthesoul.com/my-account,(definir destino relevante),drop,RIESGO: cuenta de membresia WP; sin equivalente nativo.
https://seatofthesoul.com/seat-of-the-soul-33rd-anniversary-celebration-giveaway,(definir destino relevante),drop,Giveaway aniversario dated (2022) expirado.
https://seatofthesoul.com/seat-of-the-soul-institute,/about,consolidate,Solapa con about/home; fundir en About.
https://seatofthesoul.com/sg,(definir destino relevante),drop,SG Welcome interno/legacy (2023).
https://seatofthesoul.com/share-your-favorite-quotes-the-seat-of-the-soul,(definir destino relevante),drop,Campana UGC unica (2022) expirada.
https://seatofthesoul.com/soul-connections-newsletter-archive,/soul-connections-newsletter,consolidate,Fundir en newsletter; viejo (2021).
https://seatofthesoul.com/spiritual-partnership-program-spp-registration-2025-eb,(definir destino relevante),drop,SPP 2025 early-bird cerrada.
https://seatofthesoul.com/spiritual-partnership-program-spp-registration-2025-fp,(definir destino relevante),drop,SPP 2025 full-price cerrada.
https://seatofthesoul.com/spiritual-partnership-program-spt-registration-2026-fp,/spt-26-registration-fp-2,consolidate,Variante 2026; fundir en SPT canonico.
https://seatofthesoul.com/spiritual-partnership-training-program-spt-registration-2025-eb,/spt-26-registration-fp-2,drop,SPT 2025 EB cerrada.
https://seatofthesoul.com/spiritual-partnership-training-program-spt-registration-2025-fp,/spt-26-registration-fp-2,drop,SPT 2025 FP cerrada.
https://seatofthesoul.com/spp-25-registration-eb,(definir destino relevante),drop,Duplicado SPP 2025 EB cerrada.
https://seatofthesoul.com/spp-25-registration-fp,(definir destino relevante),drop,Duplicado SPP 2025 FP cerrada.
https://seatofthesoul.com/style-sheet,(definir destino relevante),drop,Style reference WP interno; reemplazado por style guide Webflow.
https://seatofthesoul.com/subscribe-to-podcast,/podcast,consolidate,Fundir en podcast; intento duplicado.
https://seatofthesoul.com/universal-human-celebrates-one-year,(definir destino relevante),drop,Aniversario dated (2022).
https://seatofthesoul.com/video-april-2022-event,(definir destino relevante),drop,Grabacion de evento April-2022.
