slug,title,brand,category,verdict,phase,sprint,status,url_old,new_path,copy,hero_media,images,video,seo_title,seo_desc,redirects,hours_content,hours_media,assignee_role,dependencies,consolidate_into,notes
home,Home,both,Main Site,rebuild,1,1,backlog,https://seatofthesoul.com/home,/home,,,,,,,,6,8,,,,Hub de marca; ancla IA y componentes globales.
registration-received,Registration Received,both,Thank You,consolidate,1,1,backlog,https://seatofthesoul.com/registration-received,/registration-received,,,,,,,,1,1,,,,TY generico reusable; otros redirigen aqui.
about,About,sotsi,Main Site,rebuild,1,2,backlog,https://seatofthesoul.com/about,/about,,,,,,,,5,4,,,,"Pagina core, vieja (2021), rehacer en marca 2026."
about-gary-zukav,About Gary Zukav,sotsi,Main Site,rebuild,1,2,backlog,https://seatofthesoul.com/about-gary-zukav,/about-gary-zukav,,,,,,,,6,5,,,,"Fundador, critica de marca."
about-linda-francis,About Linda Francis,sotsi,Main Site,rebuild,1,2,backlog,https://seatofthesoul.com/about-linda-francis,/about-linda-francis,,,,,,,,6,5,,,,Co-fundadora; liga al tributo memorial.
for-linda,Share and Read Messages for Linda,sotsi,Content,consolidate,1,2,backlog,https://seatofthesoul.com/for-linda,/for-linda,,,,,,,,1,0,,,remember-linda-homepage,Cluster memorial Linda -> tributo unico.
linda-celebration,Linda Celebration,sotsi,Content,consolidate,1,2,backlog,https://seatofthesoul.com/linda-celebration,/linda-celebration,,,,,,,,1,0,,,remember-linda-homepage,Cluster memorial Linda.
linda-francis-celebration-series,Linda Francis Celebration Series,sotsi,Content,consolidate,1,2,backlog,https://seatofthesoul.com/linda-francis-celebration-series,/linda-francis-celebration-series,,,,,,,,1,0,,,remember-linda-homepage,Cluster memorial Linda.
linda-francis-celebration-series-messages,Linda Francis Celebration Series Messages,sotsi,Content,consolidate,1,2,backlog,https://seatofthesoul.com/linda-francis-celebration-series-messages,/linda-francis-celebration-series-messages,,,,,,,,1,0,,,remember-linda-homepage,Cluster memorial Linda.
lindas-mailbox,Linda's Mailbox,sotsi,Content,consolidate,1,2,backlog,https://seatofthesoul.com/lindas-mailbox,/lindas-mailbox,,,,,,,,1,0,,,remember-linda-homepage,Cluster memorial Linda.
messages-for-linda,Messages for Linda,sotsi,Content,consolidate,1,2,backlog,https://seatofthesoul.com/messages-for-linda,/messages-for-linda,,,,,,,,1,0,,,remember-linda-homepage,Cluster memorial Linda.
remember-linda-homepage,Remember Linda Homepage,sotsi,Main Site,consolidate,1,2,backlog,https://seatofthesoul.com/remember-linda-homepage,/remember-linda-homepage,,,,,,,,6,4,,,,Hub del cluster memorial Linda; survivor del tributo.
seat-of-the-soul-institute,Seat of The Soul Institute,sotsi,Main Site,consolidate,1,2,backlog,https://seatofthesoul.com/seat-of-the-soul-institute,/seat-of-the-soul-institute,,,,,,,,1,0,,,about,Solapa con about/home; fundir en About.
authentic-power-support-program-apsp-2025,Authentic Power Support Program (APSP) 2025,sotsi,Program / Event,rebuild,1,3,backlog,https://seatofthesoul.com/authentic-power-support-program-apsp-2025,/authentic-power-support-program-apsp-2025,,,,,,,,5,4,,,,Landing APSP; survivor canonico del cluster APSP.
beyond-the-five-senses-course,Beyond The Five Senses Course,sotsi,Program / Event,rebuild,1,3,backlog,https://seatofthesoul.com/beyond-the-five-senses-course,/beyond-the-five-senses-course,,,,,,,,5,4,,,,"Curso; rediseno en marca, confirmar si activo."
beyond-the-five-senses-waitlist,Beyond The Five Senses Waitlist,sotsi,Program / Event,consolidate,1,3,backlog,https://seatofthesoul.com/beyond-the-five-senses-waitlist,/beyond-the-five-senses-waitlist,,,,,,,,1,0,,,beyond-the-five-senses-course,Waitlist; estado de la pagina del curso.
books,Books,sotsi,Main Site,rebuild,1,3,backlog,https://seatofthesoul.com/books,/books,,,,,,,,5,4,,,,Ancla comercial; foto real + links de compra.
courses-lighten,Courses – LightEn,sotsi,Main Site,rebuild,1,3,backlog,https://seatofthesoul.com/courses-lighten,/courses-lighten,,,,,,,,5,4,,,,Curso activo (2025); rediseno en marca.
event-waitlist-journey-to-the-soul,Event Waitlist (Journey to the Soul),sotsi,Program / Event,consolidate,1,3,backlog,https://seatofthesoul.com/event-waitlist-journey-to-the-soul,/event-waitlist-journey-to-the-soul,,,,,,,,1,0,,,events-and-programs,Waitlist Journey generico; fundir en programa.
events-and-programs,Events,sotsi,Main Site,rebuild,1,3,backlog,https://seatofthesoul.com/events-and-programs,/events-and-programs,,,,,,,,3,3,,,,Hub indice de programas; secuencia las demas.
garyzukavlive,Gary Zukav LIVE,sotsi,Program / Event,improve,1,3,backlog,https://seatofthesoul.com/garyzukavlive,/garyzukavlive,,,,,,,,5,4,,,,Programa recurrente Gary Zukav LIVE; marca + SEO.
get-started,Get Started,sotsi,Main Site,rebuild,1,3,backlog,https://seatofthesoul.com/get-started,/get-started,,,,,,,,3,3,,,,Pagina de orientacion/conversion primaria.
join-seat-of-the-soul-team,Join Seat of the soul team,sotsi,Program / Event,consolidate,1,3,backlog,https://seatofthesoul.com/join-seat-of-the-soul-team,/join-seat-of-the-soul-team,,,,,,,,1,0,,,seat-of-the-soul-career-opportunities,Reclutamiento (2021); fundir con careers.
journey-questionnaire,Journey Questionnaire,sotsi,Program / Event,consolidate,1,3,backlog,https://seatofthesoul.com/journey-questionnaire,/journey-questionnaire,,,,,,,,1,0,,,journey-to-the-soul-questionnaire,Duplicado viejo (2021).
journey-to-the-soul-questionnaire,Journey to the Soul Questionnaire,sotsi,Program / Event,improve,1,3,backlog,https://seatofthesoul.com/journey-to-the-soul-questionnaire,/journey-to-the-soul-questionnaire,,,,,,,,3,2,,,,Intake Journey (2024) recurrente.
journey-to-the-soul-retreat-faqs,Journey To The Soul Retreat FAQs,sotsi,Main Site,consolidate,1,3,backlog,https://seatofthesoul.com/journey-to-the-soul-retreat-faqs,/journey-to-the-soul-retreat-faqs,,,,,,,,1,0,,,events-and-programs,Fundir en FAQ del programa Journey.
seat-of-the-soul-career-opportunities,Seat of the Soul Career Opportunities,sotsi,Program / Event,improve,1,3,backlog,https://seatofthesoul.com/seat-of-the-soul-career-opportunities,/seat-of-the-soul-career-opportunities,,,,,,,,3,2,,,,Careers (2024); survivor de reclutamiento.
spiritual-partnership-program-spt-registration-2026-fp,Spiritual Partnership Training Program (SPT) Payment Page Registration 2026 (FP),sotsi,Program / Event,consolidate,1,3,backlog,https://seatofthesoul.com/spiritual-partnership-program-spt-registration-2026-fp,/spiritual-partnership-program-spt-registration-2026-fp,,,,,,,,1,0,,,spt-26-registration-fp-2,Variante 2026; fundir en SPT canonico.
spp-questionnaire,SPP Questionnaire,sotsi,Program / Event,improve,1,3,backlog,https://seatofthesoul.com/spp-questionnaire,/spp-questionnaire,,,,,,,,3,2,,,,Intake SPP activo (2025-12).
spt-26-registration-fp-2,SPT 26 Program Registration-FP,sotsi,Program / Event,consolidate,1,3,backlog,https://seatofthesoul.com/spt-26-registration-fp-2,/spt-26-registration-fp-2,,,,,,,,5,4,,,,Registro SPT 2026 mas nuevo (2025-12); canonico SPT.
spt-ground-rules,SPT Ground Rules,sotsi,Program / Event,improve,1,3,backlog,https://seatofthesoul.com/spt-ground-rules,/spt-ground-rules,,,,,,,,3,2,,,,Politica del programa (2025) en uso.
addiction,Addiction,sotsi,Content,improve,1,4,backlog,https://seatofthesoul.com/addiction,/addiction,,,,,,,,3,2,,,,Topic (2024); unidad con addiction-thank-you.
addiction-thank-you,Addiction Thank You,sotsi,Thank You,improve,1,4,backlog,https://seatofthesoul.com/addiction-thank-you,/addiction-thank-you,,,,,,,,3,2,,,addiction,Par de addiction.
ai-and-human-evolution,AI and Human Evolution,uhf,Main Site,improve,1,4,backlog,https://seatofthesoul.com/ai-and-human-evolution,/ai-and-human-evolution,,,,,,,,3,2,,,,Contenido UHF (2024) relevante; marca + SEO.
apg-optin,Authentic Power Guidelines Opt-in,sotsi,Program / Event,improve,1,4,backlog,https://seatofthesoul.com/apg-optin,/apg-optin,,,,,,,,3,2,,,,Lead magnet activo (2025); unidad con apg-ty.
apg-ty,Authentic Power Guidelines – TY,sotsi,Thank You,improve,1,4,backlog,https://seatofthesoul.com/apg-ty,/apg-ty,,,,,,,,3,2,,,apg-optin,Par de apg-optin.
connect,Contact,both,Main Site,improve,1,4,backlog,https://seatofthesoul.com/connect,/connect,,,,,,,,3,2,,,,Contacto; rehacer form en Webflow.
cultivating-love-optin,Cultivating Self Love – Optin,sotsi,Program / Event,improve,1,4,backlog,https://seatofthesoul.com/cultivating-love-optin,/cultivating-love-optin,,,,,,,,3,2,,,,Lead magnet activo (2024).
cultivating-love-self-assessment,Cultivating Love Self-Assessment,sotsi,Program / Event,consolidate,1,4,backlog,https://seatofthesoul.com/cultivating-love-self-assessment,/cultivating-love-self-assessment,,,,,,,,1,0,,,cultivating-love-optin,Variante vieja (2021); fundir en el optin.
cultivatingemotionalawareness,Cultivating Emotional Awareness,sotsi,Program / Event,improve,1,4,backlog,https://seatofthesoul.com/cultivatingemotionalawareness,/cultivatingemotionalawareness,,,,,,,,3,2,,,,Programa evergreen (2021); marca + SEO.
daily-intuition-practice,Daily Intuition Practice,sotsi,Program / Event,improve,1,4,backlog,https://seatofthesoul.com/daily-intuition-practice,/daily-intuition-practice,,,,,,,,3,2,,,,Activo (2025); unidad con daily-intuition-ty.
daily-intuition-ty,Daily Intuition Practice – TY,sotsi,Thank You,improve,1,4,backlog,https://seatofthesoul.com/daily-intuition-ty,/daily-intuition-ty,,,,,,,,3,2,,,daily-intuition-practice,Par de daily-intuition-practice.
failing-government,Failing Government,sotsi,Main Site,improve,1,4,backlog,https://seatofthesoul.com/failing-government,/failing-government,,,,,,,,3,2,,,,"Ensayo (2024); marca + SEO, confirmar mensaje."
faqs,FAQs,both,Main Site,improve,1,4,backlog,https://seatofthesoul.com/faqs,/faqs,,,,,,,,3,2,,,,FAQ actual; migrar + marca + SEO.
fear-evaluation,Fear Evaluation,sotsi,Program / Event,consolidate,1,4,backlog,https://seatofthesoul.com/fear-evaluation,/fear-evaluation,,,,,,,,1,0,,,love-fear,Assessment (2021); fundir en funnel love-fear.
free-tools,Tools,both,Content,rebuild,1,4,backlog,https://seatofthesoul.com/free-tools,/free-tools,,,,,,,,3,3,,,,Hub de herramientas; rediseno + marca.
garys-welcome-video,Gary's Welcome Video,sotsi,Program / Event,improve,1,4,backlog,https://seatofthesoul.com/garys-welcome-video,/garys-welcome-video,,,,,,,,3,2,,,,Video bienvenida evergreen; asset real.
heartofthesoul,Heart of the Soul,sotsi,Content,improve,1,4,backlog,https://seatofthesoul.com/heartofthesoul,/heartofthesoul,,,,,,,,3,2,,,,Contenido evergreen; marca + SEO.
intuitivemultisensorylife,Intuitive Multisensory Life,sotsi,Program / Event,improve,1,4,backlog,https://seatofthesoul.com/intuitivemultisensorylife,/intuitivemultisensorylife,,,,,,,,3,2,,,,Programa evergreen (2021); marca + SEO.
judgement-thank-you,Judgement Thank You,sotsi,Thank You,improve,1,4,backlog,https://seatofthesoul.com/judgement-thank-you,/judgement-thank-you,,,,,,,,3,2,,,judgment,Par de judgment (arreglar spelling de slug).
judgment,Judgment,sotsi,Content,improve,1,4,backlog,https://seatofthesoul.com/judgment,/judgment,,,,,,,,3,2,,,,Topic (2024); unidad con judgement-thank-you (arreglar slug).
listen-in,Listen In,sotsi,Program / Event,consolidate,1,4,backlog,https://seatofthesoul.com/listen-in,/listen-in,,,,,,,,1,0,,,media,Pagina audio (2022); fundir con podcast/media.
listen-with-gary-and-linda,Listen with Gary and Linda,sotsi,Program / Event,consolidate,1,4,backlog,https://seatofthesoul.com/listen-with-gary-and-linda,/listen-with-gary-and-linda,,,,,,,,1,0,,,media,Pagina audio (2021); fundir con podcast/media.
love-evaluation,Love Evaluation,sotsi,Program / Event,consolidate,1,4,backlog,https://seatofthesoul.com/love-evaluation,/love-evaluation,,,,,,,,1,0,,,love-fear,Assessment (2021); fundir en funnel love-fear.
love-fear,Love & Fear,sotsi,Content,improve,1,4,backlog,https://seatofthesoul.com/love-fear,/love-fear,,,,,,,,3,2,,,,Teaching reciente (2025); par con love-fear-ty.
love-fear-ty,Love & Fear – TY,sotsi,Thank You,improve,1,4,backlog,https://seatofthesoul.com/love-fear-ty,/love-fear-ty,,,,,,,,3,2,,,love-fear,Par de love-fear.
media,Media,both,Main Site,improve,1,4,backlog,https://seatofthesoul.com/media,/media,,,,,,,,3,3,,,,Pagina de prensa; refrescar assets.
multi-five-ty,Multisensory vs Five-Sensory – TY,sotsi,Thank You,improve,1,4,backlog,https://seatofthesoul.com/multi-five-ty,/multi-five-ty,,,,,,,,3,2,,,mutli-five-sensory,Par de multisensory.
multi-sensory-vocabulary,Multi-Sensory Vocabulary,sotsi,Content,improve,1,4,backlog,https://seatofthesoul.com/multi-sensory-vocabulary,/multi-sensory-vocabulary,,,,,,,,3,2,,,,Referencia evergreen; marca + SEO.
mutli-five-sensory,Multisensory vs Five-Sensory,sotsi,Program / Event,improve,1,4,backlog,https://seatofthesoul.com/mutli-five-sensory,/mutli-five-sensory,,,,,,,,3,2,,,,Activo (2025); arreglar typo de slug; unidad con multi-five-ty.
paulo-coelhos,Paulo Coelho's Gift,sotsi,Content,improve,1,4,backlog,https://seatofthesoul.com/paulo-coelhos,/paulo-coelhos,,,,,,,,3,2,,,,Tributo/ensayo evergreen; marca + SEO.
podcast,Podcast,both,Main Site,improve,1,4,backlog,https://seatofthesoul.com/podcast,/podcast,,,,,,,,3,2,,,,Activo (2025-11); refresh marca + SEO.
questions-and-answers,Questions and Answers,sotsi,Content,improve,1,4,backlog,https://seatofthesoul.com/questions-and-answers,/questions-and-answers,,,,,,,,3,2,,,,Q&A evergreen; marca + SEO.
responsible-choice,Responsible Choice,sotsi,Content,improve,1,4,backlog,https://seatofthesoul.com/responsible-choice,/responsible-choice,,,,,,,,3,2,,,,Teaching reciente (2025); par con responsible-choice-ty.
responsible-choice-ty,Responsible Choice – TY,sotsi,Thank You,improve,1,4,backlog,https://seatofthesoul.com/responsible-choice-ty,/responsible-choice-ty,,,,,,,,3,2,,,responsible-choice,Par de responsible-choice.
soul-connections-newsletter,Soul Connections Newsletter,sotsi,Main Site,improve,1,4,backlog,https://seatofthesoul.com/soul-connections-newsletter,/soul-connections-newsletter,,,,,,,,3,2,,,,Mas reciente (2026-02); signup + form.
soul-connections-newsletter-archive,Soul Connections Newsletter Archive,sotsi,Main Site,consolidate,1,4,backlog,https://seatofthesoul.com/soul-connections-newsletter-archive,/soul-connections-newsletter-archive,,,,,,,,1,0,,,soul-connections-newsletter,Fundir en newsletter; viejo (2021).
soul-connections-newsletter-ty,Soul Connections Newsletter – TY,sotsi,Thank You,improve,1,4,backlog,https://seatofthesoul.com/soul-connections-newsletter-ty,/soul-connections-newsletter-ty,,,,,,,,3,2,,,soul-connections-newsletter,Par de newsletter.
subscribe-to-podcast,Podcast – Subscribe,both,Content,consolidate,1,4,backlog,https://seatofthesoul.com/subscribe-to-podcast,/subscribe-to-podcast,,,,,,,,1,0,,,podcast,Fundir en podcast; intento duplicado.
universal-human-audiobook-excerpt-chapter-28,UNIVERSAL HUMAN Audiobook Excerpt – Chapter 28,uhf,Program / Event,improve,1,4,backlog,https://seatofthesoul.com/universal-human-audiobook-excerpt-chapter-28,/universal-human-audiobook-excerpt-chapter-28,,,,,,,,3,2,,,,Excerpt audiolibro evergreen; marca UHF.
universalhuman,Universal Human,uhf,Content,improve,1,4,backlog,https://seatofthesoul.com/universalhuman,/universalhuman,,,,,,,,3,2,,,,Contenido de marca UHF (purple/humanos).
blog,Blog,both,Main Site,consolidate,1,5,backlog,https://seatofthesoul.com/blog,/blog,,,,,,,,3,3,,,,Indice canonico del blog; fusiona con blog-2.
