URL,Title,Year,Primary Category,Reason / Notes,Word Count,Published Date
https://seatofthesoul.com/honoring-maya-angelou-2,Honoring Maya Angelou,2024,Blog,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,597,2024-05-23
https://seatofthesoul.com/coronavirus-and-karma,Coronavirus and Karma,2021,SOUL THOUGHTS,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,533,2021-03-20
https://seatofthesoul.com/coronavirus-opportunity-or-obstacle,Coronavirus – Opportunity Or Obstacle,2021,Miracle,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,636,2021-03-24
https://seatofthesoul.com/coronavirus-the-heart-of-the-matter,Coronavirus – The Heart of the Matter,2021,Miracle,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,633,2021-03-24
https://seatofthesoul.com/explore-multisensory-perception-and-spiritual-partnership,Explore Multisensory Perception and Spiritual Partnership,2021,Interviews,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,2009,2021-05-11
https://seatofthesoul.com/gary-zukav-and-linda-francis-share-their-insight,Gary Zukav and Linda Francis Share Their Insight,2021,Interviews,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,3837,2021-05-11
https://seatofthesoul.com/im-thankful-network-seattle,I’m Thankful Network – Seattle,2021,Podcast,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,104,2021-05-11
https://seatofthesoul.com/keep-your-eye-on-the-ball,Keep Your Eye on the Ball,2021,SOUL THOUGHTS,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,529,2021-03-20
https://seatofthesoul.com/love-in-or-lock-down,Love In or Lock Down,2021,SOUL THOUGHTS,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,466,2021-03-20
https://seatofthesoul.com/moments-with-marianne-internet,Moments with Marianne – Internet,2021,Podcast,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,119,2021-07-09
https://seatofthesoul.com/rhythm-flow-radio-dallas,Rhythm and Flow  Radio – Dallas,2021,Podcast,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,103,2021-05-11
https://seatofthesoul.com/the-catherine-bradford-show-seattle,The Catherine Bradford Show – Seattle,2021,Podcast,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,112,2021-05-11
https://seatofthesoul.com/the-miracle-of-the-coronavirus-part-1,The Miracle Of The Coronavirus – Part 1,2021,Miracle,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,665,2021-03-24
https://seatofthesoul.com/the-miracle-of-the-coronavirus-part-2,The Miracle Of The Coronavirus – Part 2,2021,Miracle,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,705,2021-03-24
https://seatofthesoul.com/the-miracle-of-the-coronavirus-part-3,The Miracle Of The Coronavirus – Part 3,2021,Miracle,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,597,2021-03-24
https://seatofthesoul.com/the-new-male-and-authentic-power-internet,The New Male and Authentic Power – Internet,2021,Podcast,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,159,2021-05-11
https://seatofthesoul.com/the-ongoing-conversation,The Ongoing Conversation,2021,Interviews,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,473,2021-05-11
https://seatofthesoul.com/universal-human,UNIVERSAL HUMAN,2021,SOUL THOUGHTS,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,322,2021-03-20
https://seatofthesoul.com/what-gives-you-meaning-in-your-life,What Gives You Meaning in Your Life?,2021,Blog,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,341,2021-04-29
https://seatofthesoul.com/winter-solstice,Winter Solstice,2021,SOUL THOUGHTS,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration,281,2021-03-20
