Rank,Total,SEO,AEO,GEO,Series,Words,Title,Slug,Entities,Why,AlreadyInDEV,URL
1,80,23,30,27,Soul Feast,529,Soul Feast #80: Who’s Driving Your Chariot? Krishna & The Great Battle – Gary Zukav’s Personal Experiences,soul-feast-80-whos-driving-your-chariot-krishna-the-great-battle-gary-zukavs-personal-experiences,Arjuna; Bhagavad Gita; Krishna; Mahabharata,"title largo | title pregunta/how-to | listas ricas | capitulado (timestamps) | entidades: Arjuna, Bhagavad Gita, Krishna, Mahabharata | deep-dive (Feast)",,https://seatofthesoul.com/soul-feast-80-whos-driving-your-chariot-krishna-the-great-battle-gary-zukavs-personal-experiences
2,79,32,23,24,Soul Feast,640,Soul Feast #74: Gary Zukav’s Personal Experiences – The Angel,soul-feast-74-gary-zukavs-personal-experiences-the-angel,Choose Love; Genesis,"title len ok | listas ricas | capitulado (timestamps) | entidades: Choose Love, Genesis | deep-dive (Feast)",,https://seatofthesoul.com/soul-feast-74-gary-zukavs-personal-experiences-the-angel
3,78,26,30,22,Soul Feast,650,Soul Feast #82: Creator or Victim? The Pain Driving Every Choice You Make – Gary Zukav’s Personal Experiences,soul-feast-82-creator-or-victim-the-pain-driving-every-choice-you-make-gary-zukavs-personal-experiences,Choose Love,title largo | title pregunta/how-to | listas ricas | capitulado (timestamps) | deep-dive (Feast),yes,https://seatofthesoul.com/soul-feast-82-creator-or-victim-the-pain-driving-every-choice-you-make-gary-zukavs-personal-experiences
4,77,23,30,24,Soul Feast,485,Soul Feast #77: Jesus – What Does It Mean To Be Guided By Him? – Gary Zukav’s Personal Experiences,soul-feast-77-jesus-what-does-it-mean-to-be-guided-by-him-gary-zukavs-personal-experiences,Christ; Genesis; Jesus,"title largo | title pregunta/how-to | listas ricas | capitulado (timestamps) | entidades: Christ, Genesis, Jesus | deep-dive (Feast)",,https://seatofthesoul.com/soul-feast-77-jesus-what-does-it-mean-to-be-guided-by-him-gary-zukavs-personal-experiences
5,76,26,23,27,Soul Feast,616,"Soul Feast #83: Choosing Love Over Revenge: From Sandy Hook to 18,000 Schools – Gary Zukav’s Personal Experiences",soul-feast-83-choosing-love-over-revenge-from-sandy-hook-to-18000-schools-gary-zukavs-personal-experiences-2,Choose Love; Sandy Hook; Scarlett Lewis,"title largo | listas ricas | capitulado (timestamps) | entidades: Choose Love, Sandy Hook, Scarlett Lewis | deep-dive (Feast)",,https://seatofthesoul.com/soul-feast-83-choosing-love-over-revenge-from-sandy-hook-to-18000-schools-gary-zukavs-personal-experiences-2
6,75,29,30,16,Soul Snack,509,Soul Snack #81: Judging Someone? This Is What You Should Do,soul-snack-81-judging-someone-this-is-what-you-should-do,,title len ok | title pregunta/how-to | listas ricas | capitulado (timestamps),,https://seatofthesoul.com/soul-snack-81-judging-someone-this-is-what-you-should-do
7,74,32,23,19,Soul Feast,654,Soul Feast #73: Gary Zukav’s Personal Experiences – Linda Part 3,soul-feast-73-gary-zukavs-personal-experiences-linda-part-3,,title len ok | listas ricas | capitulado (timestamps) | deep-dive (Feast),yes,https://seatofthesoul.com/soul-feast-73-gary-zukavs-personal-experiences-linda-part-3
8,73,23,23,27,Soul Feast,554,Soul Feast #81: Why You Are the Universe – Gary Zukav’s Personal Experiences,soul-feast-81-why-you-are-the-universe-gary-zukavs-personal-experiences,Buddha; Dancing Wu Li; Genesis; Jesus; Krishna,"title largo | listas ricas | capitulado (timestamps) | entidades: Buddha, Dancing Wu Li, Genesis, Jesus | deep-dive (Feast)",,https://seatofthesoul.com/soul-feast-81-why-you-are-the-universe-gary-zukavs-personal-experiences
9,73,23,23,27,Soul Feast,540,"Soul Feast #79: Buddha, Angels & the Moment My Mind Went Quiet – Gary Zukav’s Personal Experiences",soul-feast-79-buddha-angels-the-moment-my-mind-went-quiet-gary-zukavs-personal-experiences,Buddha; Choose Love; Christ; Genesis; Jesus,"title largo | listas ricas | capitulado (timestamps) | entidades: Buddha, Choose Love, Christ, Genesis | deep-dive (Feast)",,https://seatofthesoul.com/soul-feast-79-buddha-angels-the-moment-my-mind-went-quiet-gary-zukavs-personal-experiences
10,73,22,30,21,Soul Feast,281,Soul Feast #3: What is The New Consciousness?,what-is-the-new-consciousness,Genesis; Seat of the Soul,"title len ok | contenido corto | title pregunta/how-to | listas ricas | capitulado (timestamps) | entidades: Genesis, Seat of the Soul | deep-dive (Feast)",,https://seatofthesoul.com/what-is-the-new-consciousness
11,72,26,30,16,Soul Snack,357,Soul Snack #57: Why Does Challenging Anger Bring More Anger?,soul-snack-57-why-does-challenging-anger-bring-more-anger,Choose Love,title len ok | contenido corto | title pregunta/how-to | listas ricas | capitulado (timestamps),,https://seatofthesoul.com/soul-snack-57-why-does-challenging-anger-bring-more-anger
12,72,26,30,16,Soul Snack,342,Soul Snack #53: Is Painful Karma From a Good Deed Possible?,soul-snack-53-is-painful-karma-from-a-good-deed-possible,Choose Love,title len ok | contenido corto | title pregunta/how-to | listas ricas | capitulado (timestamps),,https://seatofthesoul.com/soul-snack-53-is-painful-karma-from-a-good-deed-possible
13,72,26,30,16,Soul Snack,331,Soul Snack #21: How Do I Challenge a Frightened Part of My Personality?,challenge-a-frightened-part-of-my-personality,Choose Love,contenido corto | title pregunta/how-to | listas ricas | capitulado (timestamps),,https://seatofthesoul.com/challenge-a-frightened-part-of-my-personality
14,72,26,30,16,Soul Snack,265,Soul Snack #10: How do I change the way I process energy?,how-do-i-change-the-way-i-process-energy,Seat of the Soul,title len ok | contenido corto | title pregunta/how-to | listas ricas | capitulado (timestamps),,https://seatofthesoul.com/how-do-i-change-the-way-i-process-energy
